# Wireless Strength at 60 second intervals.
# Mon 09 Nov 2009 12:15:48 AM PST
2009.11.09-00:15:48	.65
2009.11.09-00:16:48	.65
2009.11.09-00:17:48	.64
2009.11.09-00:18:48	.65
2009.11.09-00:19:48	.65
2009.11.09-00:20:48	.65
2009.11.09-00:21:48	.65
2009.11.09-00:22:48	.65
2009.11.09-00:23:49	.67
2009.11.09-00:24:49	.65
2009.11.09-00:25:49	.65
2009.11.09-00:26:49	.65
2009.11.09-00:27:49	.65
2009.11.09-00:28:49	.65
2009.11.09-00:29:49	0
2009.11.09-00:30:49	.67
2009.11.09-00:31:49	.65
2009.11.09-00:32:49	.64
2009.11.09-00:33:49	.64
2009.11.09-00:34:49	.65
2009.11.09-00:35:49	.65
2009.11.09-00:36:49	.65
2009.11.09-00:37:49	.65
2009.11.09-00:38:49	.65
2009.11.09-00:39:49	.64
2009.11.09-00:40:49	.67
2009.11.09-00:41:49	.67
2009.11.09-00:42:49	.67
2009.11.09-00:43:50	.60
2009.11.09-00:44:50	.65
2009.11.09-00:45:50	.65
2009.11.09-00:46:50	.67
2009.11.09-00:47:50	.65
2009.11.09-00:48:50	.62
2009.11.09-00:49:50	.65
2009.11.09-00:50:50	.62
2009.11.09-00:51:50	.65
2009.11.09-00:52:50	.65
2009.11.09-00:53:50	.67
2009.11.09-00:54:50	.67
2009.11.09-00:55:50	.65
2009.11.09-00:56:50	.65
2009.11.09-00:57:50	0
2009.11.09-00:58:50	.65
2009.11.09-00:59:50	.67
2009.11.09-01:00:50	.65
2009.11.09-01:01:50	.67
2009.11.09-01:02:50	.67
2009.11.09-01:03:50	.67
2009.11.09-01:04:51	.67
2009.11.09-01:05:51	.67
2009.11.09-01:06:51	.67
2009.11.09-01:07:51	.67
2009.11.09-01:08:51	.67
2009.11.09-01:09:51	.67
2009.11.09-01:10:51	.67
2009.11.09-01:11:51	.67
2009.11.09-01:12:51	.65
2009.11.09-01:13:51	.67
2009.11.09-01:14:51	.67
2009.11.09-01:15:51	.67
2009.11.09-01:16:51	.65
